NED,Relation Linker,Class Identifier,Query Builder
qanary_component-NED-DBpedia-Spotlight,qanary_component-REL-ReMatch,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-NED-DBpedia-Spotlight,qanary_component-REL-ReMatch,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-NED-DBpedia-Spotlight,qanary_component-REL-ReMatch,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-NED-DBpedia-Spotlight,qanary_component-REL-ReMatch,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
qanary_component-NED-DBpedia-Spotlight,qa.qanary_component-DiambiguationProperty-OKBQA,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-NED-DBpedia-Spotlight,qa.qanary_component-DiambiguationProperty-OKBQA,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-NED-DBpedia-Spotlight,qa.qanary_component-DiambiguationProperty-OKBQA,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-NED-DBpedia-Spotlight,qa.qanary_component-DiambiguationProperty-OKBQA,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
qanary_component-NED-DBpedia-Spotlight,qa.qanary_component-AnnotationofSpotProperty-tgm,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-NED-DBpedia-Spotlight,qa.qanary_component-AnnotationofSpotProperty-tgm,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-NED-DBpedia-Spotlight,qa.qanary_component-AnnotationofSpotProperty-tgm,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-NED-DBpedia-Spotlight,qa.qanary_component-AnnotationofSpotProperty-tgm,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
qanary_component-NED-DBpedia-Spotlight,qanary_component-REL-RelationLinker,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-NED-DBpedia-Spotlight,qanary_component-REL-RelationLinker,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-NED-DBpedia-Spotlight,qanary_component-REL-RelationLinker,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-NED-DBpedia-Spotlight,qanary_component-REL-RelationLinker,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
qanary_component-NED-DBpedia-Spotlight,qanary_component-REL-RelationLinker2,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-NED-DBpedia-Spotlight,qanary_component-REL-RelationLinker2,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-NED-DBpedia-Spotlight,qanary_component-REL-RelationLinker2,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-NED-DBpedia-Spotlight,qanary_component-REL-RelationLinker2,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
,,,
qanary_component-NERD-Lucene-Linker,qanary_component-REL-ReMatch,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-NERD-Lucene-Linker,qanary_component-REL-ReMatch,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-NERD-Lucene-Linker,qanary_component-REL-ReMatch,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-NERD-Lucene-Linker,qanary_component-REL-ReMatch,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
qanary_component-NERD-Lucene-Linker,qa.qanary_component-DiambiguationProperty-OKBQA,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-NERD-Lucene-Linker,qa.qanary_component-DiambiguationProperty-OKBQA,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-NERD-Lucene-Linker,qa.qanary_component-DiambiguationProperty-OKBQA,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-NERD-Lucene-Linker,qa.qanary_component-DiambiguationProperty-OKBQA,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
qanary_component-NERD-Lucene-Linker,qa.qanary_component-AnnotationofSpotProperty-tgm,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-NERD-Lucene-Linker,qa.qanary_component-AnnotationofSpotProperty-tgm,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-NERD-Lucene-Linker,qa.qanary_component-AnnotationofSpotProperty-tgm,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-NERD-Lucene-Linker,qa.qanary_component-AnnotationofSpotProperty-tgm,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
qanary_component-NERD-Lucene-Linker,qanary_component-REL-RelationLinker,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-NERD-Lucene-Linker,qanary_component-REL-RelationLinker,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-NERD-Lucene-Linker,qanary_component-REL-RelationLinker,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-NERD-Lucene-Linker,qanary_component-REL-RelationLinker,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
qanary_component-NERD-Lucene-Linker,qanary_component-REL-RelationLinker2,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-NERD-Lucene-Linker,qanary_component-REL-RelationLinker2,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-NERD-Lucene-Linker,qanary_component-REL-RelationLinker2,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-NERD-Lucene-Linker,qanary_component-REL-RelationLinker2,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
,,,
qanary_component-NED-Babelfy,qanary_component-REL-ReMatch,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-NED-Babelfy,qanary_component-REL-ReMatch,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-NED-Babelfy,qanary_component-REL-ReMatch,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-NED-Babelfy,qanary_component-REL-ReMatch,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
qanary_component-NED-Babelfy,qa.qanary_component-DiambiguationProperty-OKBQA,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-NED-Babelfy,qa.qanary_component-DiambiguationProperty-OKBQA,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-NED-Babelfy,qa.qanary_component-DiambiguationProperty-OKBQA,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-NED-Babelfy,qa.qanary_component-DiambiguationProperty-OKBQA,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
qanary_component-NED-Babelfy,qa.qanary_component-AnnotationofSpotProperty-tgm,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-NED-Babelfy,qa.qanary_component-AnnotationofSpotProperty-tgm,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-NED-Babelfy,qa.qanary_component-AnnotationofSpotProperty-tgm,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-NED-Babelfy,qa.qanary_component-AnnotationofSpotProperty-tgm,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
qanary_component-NED-Babelfy,qanary_component-REL-RelationLinker,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-NED-Babelfy,qanary_component-REL-RelationLinker,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-NED-Babelfy,qanary_component-REL-RelationLinker,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-NED-Babelfy,qanary_component-REL-RelationLinker,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
qanary_component-NED-Babelfy,qanary_component-REL-RelationLinker2,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-NED-Babelfy,qanary_component-REL-RelationLinker2,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-NED-Babelfy,qanary_component-REL-RelationLinker2,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-NED-Babelfy,qanary_component-REL-RelationLinker2,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
,,,
qanary_component-NED-Dandelion,qanary_component-REL-ReMatch,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-NED-Dandelion,qanary_component-REL-ReMatch,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-NED-Dandelion,qanary_component-REL-ReMatch,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-NED-Dandelion,qanary_component-REL-ReMatch,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
qanary_component-NED-Dandelion,qa.qanary_component-DiambiguationProperty-OKBQA,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-NED-Dandelion,qa.qanary_component-DiambiguationProperty-OKBQA,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-NED-Dandelion,qa.qanary_component-DiambiguationProperty-OKBQA,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-NED-Dandelion,qa.qanary_component-DiambiguationProperty-OKBQA,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
qanary_component-NED-Dandelion,qa.qanary_component-AnnotationofSpotProperty-tgm,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-NED-Dandelion,qa.qanary_component-AnnotationofSpotProperty-tgm,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-NED-Dandelion,qa.qanary_component-AnnotationofSpotProperty-tgm,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-NED-Dandelion,qa.qanary_component-AnnotationofSpotProperty-tgm,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
qanary_component-NED-Dandelion,qanary_component-REL-RelationLinker,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-NED-Dandelion,qanary_component-REL-RelationLinker,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-NED-Dandelion,qanary_component-REL-RelationLinker,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-NED-Dandelion,qanary_component-REL-RelationLinker,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
qanary_component-NED-Dandelion,qanary_component-REL-RelationLinker2,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-NED-Dandelion,qanary_component-REL-RelationLinker2,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-NED-Dandelion,qanary_component-REL-RelationLinker2,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-NED-Dandelion,qanary_component-REL-RelationLinker2,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
,,,
qanary_component-NED-tagme,qanary_component-REL-ReMatch,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-NED-tagme,qanary_component-REL-ReMatch,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-NED-tagme,qanary_component-REL-ReMatch,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-NED-tagme,qanary_component-REL-ReMatch,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
qanary_component-NED-tagme,qa.qanary_component-DiambiguationProperty-OKBQA,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-NED-tagme,qa.qanary_component-DiambiguationProperty-OKBQA,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-NED-tagme,qa.qanary_component-DiambiguationProperty-OKBQA,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-NED-tagme,qa.qanary_component-DiambiguationProperty-OKBQA,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
qanary_component-NED-tagme,qa.qanary_component-AnnotationofSpotProperty-tgm,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-NED-tagme,qa.qanary_component-AnnotationofSpotProperty-tgm,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-NED-tagme,qa.qanary_component-AnnotationofSpotProperty-tgm,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-NED-tagme,qa.qanary_component-AnnotationofSpotProperty-tgm,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
qanary_component-NED-tagme,qanary_component-REL-RelationLinker,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-NED-tagme,qanary_component-REL-RelationLinker,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-NED-tagme,qanary_component-REL-RelationLinker,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-NED-tagme,qanary_component-REL-RelationLinker,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
qanary_component-NED-tagme,qanary_component-REL-RelationLinker2,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-NED-tagme,qanary_component-REL-RelationLinker2,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-NED-tagme,qanary_component-REL-RelationLinker2,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-NED-tagme,qanary_component-REL-RelationLinker2,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
,,,
qanary_component-NED-Aylien,qanary_component-REL-ReMatch,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-NED-Aylien,qanary_component-REL-ReMatch,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-NED-Aylien,qanary_component-REL-ReMatch,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-NED-Aylien,qanary_component-REL-ReMatch,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
qanary_component-NED-Aylien,qa.qanary_component-DiambiguationProperty-OKBQA,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-NED-Aylien,qa.qanary_component-DiambiguationProperty-OKBQA,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-NED-Aylien,qa.qanary_component-DiambiguationProperty-OKBQA,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-NED-Aylien,qa.qanary_component-DiambiguationProperty-OKBQA,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
qanary_component-NED-Aylien,qa.qanary_component-AnnotationofSpotProperty-tgm,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-NED-Aylien,qa.qanary_component-AnnotationofSpotProperty-tgm,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-NED-Aylien,qa.qanary_component-AnnotationofSpotProperty-tgm,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-NED-Aylien,qa.qanary_component-AnnotationofSpotProperty-tgm,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
qanary_component-NED-Aylien,qanary_component-REL-RelationLinker,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-NED-Aylien,qanary_component-REL-RelationLinker,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-NED-Aylien,qanary_component-REL-RelationLinker,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-NED-Aylien,qanary_component-REL-RelationLinker,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
qanary_component-NED-Aylien,qanary_component-REL-RelationLinker2,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-NED-Aylien,qanary_component-REL-RelationLinker2,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-NED-Aylien,qanary_component-REL-RelationLinker2,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-NED-Aylien,qanary_component-REL-RelationLinker2,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
,,,
qanary_component-NED-Ontotext,qanary_component-REL-ReMatch,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-NED-Ontotext,qanary_component-REL-ReMatch,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-NED-Ontotext,qanary_component-REL-ReMatch,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-NED-Ontotext,qanary_component-REL-ReMatch,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
qanary_component-NED-Ontotext,qa.qanary_component-DiambiguationProperty-OKBQA,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-NED-Ontotext,qa.qanary_component-DiambiguationProperty-OKBQA,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-NED-Ontotext,qa.qanary_component-DiambiguationProperty-OKBQA,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-NED-Ontotext,qa.qanary_component-DiambiguationProperty-OKBQA,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
qanary_component-NED-Ontotext,qa.qanary_component-AnnotationofSpotProperty-tgm,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-NED-Ontotext,qa.qanary_component-AnnotationofSpotProperty-tgm,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-NED-Ontotext,qa.qanary_component-AnnotationofSpotProperty-tgm,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-NED-Ontotext,qa.qanary_component-AnnotationofSpotProperty-tgm,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
qanary_component-NED-Ontotext,qanary_component-REL-RelationLinker,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-NED-Ontotext,qanary_component-REL-RelationLinker,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-NED-Ontotext,qanary_component-REL-RelationLinker,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-NED-Ontotext,qanary_component-REL-RelationLinker,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
qanary_component-NED-Ontotext,qanary_component-REL-RelationLinker2,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-NED-Ontotext,qanary_component-REL-RelationLinker2,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-NED-Ontotext,qanary_component-REL-RelationLinker2,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-NED-Ontotext,qanary_component-REL-RelationLinker2,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
,,,
Ambiverse,qanary_component-REL-ReMatch,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
Ambiverse,qanary_component-REL-ReMatch,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
Ambiverse,qanary_component-REL-ReMatch,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
Ambiverse,qanary_component-REL-ReMatch,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
Ambiverse,qa.qanary_component-DiambiguationProperty-OKBQA,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
Ambiverse,qa.qanary_component-DiambiguationProperty-OKBQA,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
Ambiverse,qa.qanary_component-DiambiguationProperty-OKBQA,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
Ambiverse,qa.qanary_component-DiambiguationProperty-OKBQA,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
Ambiverse,qa.qanary_component-AnnotationofSpotProperty-tgm,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
Ambiverse,qa.qanary_component-AnnotationofSpotProperty-tgm,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
Ambiverse,qa.qanary_component-AnnotationofSpotProperty-tgm,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
Ambiverse,qa.qanary_component-AnnotationofSpotProperty-tgm,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
Ambiverse,qanary_component-REL-RelationLinker,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
Ambiverse,qanary_component-REL-RelationLinker,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
Ambiverse,qanary_component-REL-RelationLinker,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
Ambiverse,qanary_component-REL-RelationLinker,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
Ambiverse,qanary_component-REL-RelationLinker2,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
Ambiverse,qanary_component-REL-RelationLinker2,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
Ambiverse,qanary_component-REL-RelationLinker2,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
Ambiverse,qanary_component-REL-RelationLinker2,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
,,,
qanary_component-smaph-erd,qanary_component-REL-ReMatch,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-smaph-erd,qanary_component-REL-ReMatch,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-smaph-erd,qanary_component-REL-ReMatch,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-smaph-erd,qanary_component-REL-ReMatch,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
qanary_component-smaph-erd,qa.qanary_component-DiambiguationProperty-OKBQA,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-smaph-erd,qa.qanary_component-DiambiguationProperty-OKBQA,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-smaph-erd,qa.qanary_component-DiambiguationProperty-OKBQA,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-smaph-erd,qa.qanary_component-DiambiguationProperty-OKBQA,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
qanary_component-smaph-erd,qa.qanary_component-AnnotationofSpotProperty-tgm,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-smaph-erd,qa.qanary_component-AnnotationofSpotProperty-tgm,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-smaph-erd,qa.qanary_component-AnnotationofSpotProperty-tgm,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-smaph-erd,qa.qanary_component-AnnotationofSpotProperty-tgm,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
qanary_component-smaph-erd,qanary_component-REL-RelationLinker,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-smaph-erd,qanary_component-REL-RelationLinker,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-smaph-erd,qanary_component-REL-RelationLinker,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-smaph-erd,qanary_component-REL-RelationLinker,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder
qanary_component-smaph-erd,qanary_component-REL-RelationLinker2,qa.qanary_component-DiambiguationClass-OKBQA,qanary_component-QB-Sina
qanary_component-smaph-erd,qanary_component-REL-RelationLinker2,qa.qanary_component-DiambiguationClass-OKBQA,qa.qanary_component-QueryBuilder
qanary_component-smaph-erd,qanary_component-REL-RelationLinker2,qa.qanary_component-AnnotationofSpotClass,qanary_component-QB-Sina
qanary_component-smaph-erd,qanary_component-REL-RelationLinker2,qa.qanary_component-AnnotationofSpotClass,qa.qanary_component-QueryBuilder